,Lithology_(main),Hydrocarbon_type_(main),Tectonic_regime,Structural_setting,Region,Permeability_(air_average_mD),Porosity_(matrix_average_%),Depth_(top_reservoir_ft_TVD),Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period
199,CHALKY LIMESTONE,OIL,EXTENSION,RIFT,AFRICA,14.0,10.15,1320.5,7000.0,1700.5,NEOGENE
200,DOLOMITE,OIL,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,75.0,10.15,5153.499999999999,46.5,29.75,CRETACEOUS
201,LIMESTONE,OIL,EXTENSION,RIFT,NORTH AMERICA,35.0,41.5,2960.5,160.0,11.5,CAMBRIAN
202,SANDSTONE,OIL,INVERSION,SALT,EUROPE,161.0,22.75,6288.5,475.0,101.5,JURASSIC
203,CHALK,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,5.3,41.5,4089.999999999999,101.0,48.25,CARBONIFEROUS
204,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,10.15,5153.499999999999,101.0,71.5,NEOGENE
205,SANDSTONE,OIL,COMPRESSION,THRUST,LATIN AMERICA,4350.0,41.5,1320.5,1152.0,337.5,NEOGENE
206,SANDSTONE,OIL,COMPRESSION,THRUST,LATIN AMERICA,161.0,26.25,1320.5,7000.0,205.0,CRETACEOUS
207,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,1.305,5.05,15389.0,101.0,11.5,CARBONIFEROUS
208,LOW-RESISTIVITY SANDSTONE,GAS,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,4350.0,41.5,1320.5,676.9999999999999,101.5,CRETACEOUS
209,CHALK,OIL,GRAVITY,SALT,LATIN AMERICA,161.0,17.5,8763.5,475.0,140.0,NEOGENE
210,CHALK,OIL,GRAVITY,DELTA,NORTH AMERICA,75.0,26.25,6288.5,101.0,11.5,DEVONIAN
211,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,17.5,5153.499999999999,101.0,11.5,JURASSIC
212,GLAUCONITIC SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,5.05,4089.999999999999,475.0,205.0,PERMIAN
213,DOLOMITE,GAS,COMPRESSION,SALT,MIDDLE EAST,35.0,17.5,5153.499999999999,7000.0,1700.5,JURASSIC
214,SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1.305,10.15,5153.499999999999,46.5,29.75,PERMIAN
215,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,161.0,15.0,15389.0,245.0,205.0,NEOGENE
216,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,EUROPE,14.0,17.5,15389.0,245.0,71.5,JURASSIC
217,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,1.305,5.05,5153.499999999999,475.0,140.0,PALEOGENE
218,SANDSTONE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,850.0,17.5,1320.5,1152.0,1700.5,PROTEROZOIC
219,SANDSTONE,OIL,COMPRESSION,WRENCH,LATIN AMERICA,35.0,17.5,4089.999999999999,475.0,101.5,CRETACEOUS
220,SANDSTONE,OIL,INVERSION,FORELAND,NORTH AMERICA,850.0,41.5,5153.499999999999,46.5,11.5,CARBONIFEROUS
221,LIMESTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,2960.5,160.0,29.75,CARBONIFEROUS
222,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,17.5,6288.5,160.0,11.5,CRETACEOUS
223,LIMESTONE,GAS,GRAVITY,SALT,NORTH AMERICA,35.0,10.15,2960.5,160.0,48.25,CRETACEOUS
224,LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,FORMER SOVIET UNION,14.0,22.75,8763.5,7000.0,1700.5,NEOGENE
225,SANDSTONE,GAS-CONDENSATE,GRAVITY,DELTA,NORTH AMERICA,5.3,10.15,5153.499999999999,1152.0,1700.5,PALEOGENE
226,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,20.0,8763.5,1152.0,140.0,CRETACEOUS
227,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,5.05,6288.5,345.0,140.0,CRETACEOUS
228,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,AFRICA,361.0,10.15,5153.499999999999,101.0,48.25,PALEOZOIC
229,SANDSTONE,OIL,COMPRESSION,INVERSION,FORMER SOVIET UNION,850.0,17.5,1320.5,245.0,205.0,NEOGENE
230,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,1.305,12.65,7513.5,46.5,29.75,CRETACEOUS
231,DOLOMITE,OIL,EXTENSION,RIFT,EUROPE,14.0,15.0,8763.5,46.5,11.5,JURASSIC
232,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,14.0,15.0,2960.5,101.0,71.5,PALEOGENE
233,BASEMENT,OIL,COMPRESSION,FORELAND,NORTH AMERICA,1.305,15.0,2960.5,1152.0,337.5,CRETACEOUS
234,LIMESTONE,OIL,INVERSION,RIFT,FAR EAST,1.305,5.05,7513.5,160.0,71.5,NEOGENE
235,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,41.5,2960.5,475.0,205.0,NEOGENE
236,LIMESTONE,GAS-CONDENSATE,INVERSION,RIFT,FAR EAST,14.0,10.15,7513.5,676.9999999999999,1700.5,NEOGENE
237,SANDSTONE,OIL,EXTENSION,INTRACRATONIC,EUROPE,850.0,41.5,15389.0,46.5,29.75,PALEOGENE
238,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,4350.0,41.5,10170.0,345.0,29.75,PALEOGENE
239,DOLOMITIC LIMESTONE,OIL,EXTENSION,RIFT,AFRICA,14.0,5.05,8763.5,160.0,101.5,PALEOGENE
240,SANDSTONE,OIL,INVERSION,SUB-SALT,EUROPE,161.0,22.75,5153.499999999999,1152.0,337.5,CRETACEOUS
241,DOLOMITE,OIL,STRIKE-SLIP,WRENCH,NORTH AMERICA,35.0,17.5,5153.499999999999,46.5,29.75,DEVONIAN
242,LIMESTONE,OIL,EXTENSION,PASSIVE MARGIN,FAR EAST,4350.0,22.75,8763.5,245.0,205.0,PALEOGENE
243,SANDSTONE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,161.0,17.5,15389.0,676.9999999999999,1700.5,TRIASSIC
244,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,AFRICA,5.3,20.0,7513.5,7000.0,29.75,CRETACEOUS
245,SANDSTONE,OIL,EXTENSION,RIFT,LATIN AMERICA,361.0,41.5,4089.999999999999,101.0,48.25,PALEOGENE
246,SANDSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,35.0,17.5,10170.0,245.0,29.75,CRETACEOUS
247,DOLOMITE,OIL,INVERSION,RIFT,EUROPE,75.0,10.15,2960.5,46.5,11.5,JURASSIC
248,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,4089.999999999999,160.0,71.5,CRETACEOUS
249,CHALKY LIMESTONE,OIL,STRIKE-SLIP,BACKARC,FAR EAST,5.3,26.25,7513.5,676.9999999999999,337.5,PALEOGENE
250,SANDSTONE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,5.3,20.0,2960.5,345.0,140.0,JURASSIC
251,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,75.0,20.0,8763.5,345.0,205.0,TRIASSIC
252,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,NORTH AMERICA,850.0,17.5,6288.5,676.9999999999999,337.5,DEVONIAN
253,LIMESTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,10.15,2960.5,7000.0,337.5,CRETACEOUS
254,DOLOMITE,OIL,INVERSION,INVERSION,FAR EAST,5.3,5.05,10170.0,245.0,29.75,PALEOGENE
255,LIMESTONE,OIL,INVERSION,INVERSION,FAR EAST,4350.0,22.75,10170.0,160.0,101.5,PALEOGENE
256,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,5.05,5153.499999999999,345.0,48.25,CARBONIFEROUS
257,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,17.5,4089.999999999999,1152.0,1700.5,NEOGENE
258,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,10.15,7513.5,46.5,48.25,NEOGENE
259,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,10.15,2960.5,101.0,71.5,CRETACEOUS
260,CHALKY LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,361.0,10.15,5153.499999999999,1152.0,1700.5,CRETACEOUS
261,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,4350.0,22.75,2960.5,676.9999999999999,1700.5,ARCHEAN
262,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,EUROPE,4350.0,26.25,2960.5,101.0,29.75,CRETACEOUS
263,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,850.0,17.5,2960.5,676.9999999999999,337.5,PERMIAN
264,DOLOMITE,OIL,STRIKE-SLIP,WRENCH,AFRICA,161.0,12.65,1320.5,676.9999999999999,1700.5,PALEOGENE
265,GLAUCONITIC SANDSTONE,OIL,INVERSION,INVERSION,EUROPE,161.0,15.0,1320.5,46.5,48.25,TRIASSIC
266,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,850.0,26.25,2960.5,676.9999999999999,140.0,JURASSIC
267,LIMESTONE,OIL,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,35.0,26.25,2960.5,345.0,205.0,JURASSIC
268,SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,850.0,22.75,5153.499999999999,1152.0,1700.5,NEOGENE
269,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,12.65,8763.5,475.0,140.0,CRETACEOUS
270,DOLOMITE,OIL,COMPRESSION,SALT,MIDDLE EAST,850.0,26.25,6288.5,676.9999999999999,101.5,JURASSIC
271,SANDSTONE,OIL,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,35.0,20.0,7513.5,160.0,101.5,CRETACEOUS
272,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,12.65,8763.5,101.0,71.5,NEOGENE
273,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,361.0,41.5,10170.0,46.5,11.5,JURASSIC
274,SANDSTONE,GAS,INVERSION,INVERSION,FAR EAST,161.0,20.0,4089.999999999999,345.0,205.0,PALEOGENE
275,SANDSTONE,GAS,INVERSION,SUB-SALT,EUROPE,35.0,20.0,4089.999999999999,676.9999999999999,1700.5,TRIASSIC
276,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,22.75,1320.5,46.5,29.75,CRETACEOUS
277,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,41.5,6288.5,160.0,29.75,JURASSIC
278,SILTSTONE,GAS-CONDENSATE,COMPRESSION,THRUST,LATIN AMERICA,361.0,22.75,6288.5,676.9999999999999,101.5,CRETACEOUS
279,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,12.65,7513.5,46.5,29.75,TRIASSIC
280,SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,5.3,15.0,8763.5,345.0,337.5,CRETACEOUS
281,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,5153.499999999999,46.5,48.25,CARBONIFEROUS
282,LIMESTONE,OIL,EXTENSION,RIFT,EUROPE,14.0,15.0,4089.999999999999,7000.0,337.5,JURASSIC
283,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,361.0,26.25,1320.5,46.5,11.5,PROTEROZOIC
284,DOLOMITE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,5.3,5.05,15389.0,245.0,11.5,CARBONIFEROUS
285,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,10.15,1320.5,160.0,29.75,PERMIAN
286,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,22.75,4089.999999999999,160.0,101.5,CARBONIFEROUS
287,SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,361.0,12.65,15389.0,7000.0,1700.5,PALEOZOIC
288,SANDSTONE,GAS,INVERSION,SALT,EUROPE,1.305,17.5,6288.5,245.0,11.5,CRETACEOUS
289,DOLOMITE,OIL,INVERSION,RIFT,FAR EAST,1.305,5.05,10170.0,676.9999999999999,205.0,CRETACEOUS
290,SANDSTONE,OIL,GRAVITY,DELTA,AFRICA,4350.0,17.5,8763.5,46.5,48.25,PALEOGENE
291,SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,850.0,26.25,1320.5,245.0,71.5,JURASSIC
292,DOLOMITE,OIL,GRAVITY,SALT,EUROPE,14.0,5.05,2960.5,7000.0,140.0,CRETACEOUS
293,LIMESTONE,GAS,GRAVITY,SALT,NORTH AMERICA,35.0,10.15,7513.5,101.0,48.25,CARBONIFEROUS
294,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,22.75,1320.5,7000.0,337.5,CRETACEOUS
295,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,26.25,2960.5,101.0,71.5,DEVONIAN
296,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,5.05,6288.5,7000.0,140.0,CARBONIFEROUS
297,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,850.0,22.75,6288.5,245.0,71.5,CRETACEOUS
298,SANDSTONE,OIL,INVERSION,RIFT,EUROPE,4350.0,41.5,4089.999999999999,345.0,337.5,JURASSIC
299,SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,AFRICA,361.0,20.0,7513.5,1152.0,29.75,CRETACEOUS
300,LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,161.0,12.65,5153.499999999999,245.0,11.5,CAMBRIAN
301,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,1.305,10.15,7513.5,101.0,71.5,SILURIAN
302,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,15.0,6288.5,245.0,11.5,CRETACEOUS
303,SANDSTONE,GAS-CONDENSATE,GRAVITY,DELTA,NORTH AMERICA,5.3,10.15,8763.5,1152.0,337.5,PALEOGENE
304,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,5.05,7513.5,101.0,101.5,NEOGENE
305,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,35.0,20.0,4089.999999999999,7000.0,205.0,NEOGENE
306,DOLOMITE,GAS,INVERSION,RIFT,FAR EAST,1.305,5.05,7513.5,345.0,101.5,PALEOGENE
307,SANDSTONE,GAS,INVERSION,INVERSION,FAR EAST,850.0,22.75,5153.499999999999,345.0,337.5,NEOGENE
308,SANDSTONE,OIL,GRAVITY,DELTA,FAR EAST,4350.0,41.5,7513.5,7000.0,1700.5,PROTEROZOIC
309,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,17.5,8763.5,101.0,29.75,PROTEROZOIC
310,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,1.305,5.05,4089.999999999999,46.5,48.25,NEOGENE
311,DOLOMITE,OIL,GRAVITY,DELTA,AFRICA,5.3,10.15,5153.499999999999,345.0,101.5,NEOGENE
312,DOLOMITE,GAS,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,1.305,5.05,10170.0,676.9999999999999,71.5,PERMIAN
313,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,850.0,41.5,8763.5,160.0,11.5,PERMIAN
314,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,15.0,10170.0,101.0,48.25,NEOGENE
315,SANDSTONE,GAS,COMPRESSION,FORELAND,FAR EAST,850.0,17.5,6288.5,7000.0,71.5,PALEOGENE
316,LIMESTONE,OIL,COMPRESSION,THRUST,EUROPE,14.0,10.15,15389.0,46.5,11.5,JURASSIC
317,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,17.5,8763.5,345.0,337.5,NEOGENE
318,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,75.0,15.0,1320.5,245.0,48.25,PALEOGENE
319,LIMESTONE,GAS,EXTENSION,INTRACRATONIC,EUROPE,75.0,26.25,7513.5,1152.0,205.0,JURASSIC
320,CHALKY LIMESTONE,GAS-CONDENSATE,INVERSION,DELTA,NORTH AMERICA,14.0,15.0,15389.0,46.5,48.25,CRETACEOUS
321,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,12.65,1320.5,46.5,29.75,CRETACEOUS
322,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,4350.0,26.25,2960.5,676.9999999999999,205.0,JURASSIC
323,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,161.0,20.0,8763.5,7000.0,140.0,NEOGENE
324,LIMESTONE,OIL,GRAVITY,SALT,NORTH AMERICA,75.0,20.0,10170.0,46.5,29.75,PERMIAN
325,LOW-RESISTIVITY SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,1.305,5.05,1320.5,676.9999999999999,140.0,JURASSIC
326,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,7513.5,46.5,29.75,CRETACEOUS
327,SILTSTONE,OIL,EXTENSION,RIFT,AFRICA,161.0,20.0,15389.0,475.0,140.0,CRETACEOUS
328,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,12.65,10170.0,160.0,140.0,PROTEROZOIC
329,CHALKY LIMESTONE,GAS-CONDENSATE,COMPRESSION,THRUST,FAR EAST,75.0,20.0,7513.5,345.0,101.5,PALEOGENE
330,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,2960.5,46.5,29.75,DEVONIAN
331,SANDSTONE,GAS,INVERSION,SALT,EUROPE,1.305,10.15,6288.5,475.0,101.5,TRIASSIC
332,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,22.75,7513.5,475.0,29.75,CRETACEOUS
333,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,5153.499999999999,46.5,48.25,CRETACEOUS
334,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,1.305,12.65,1320.5,46.5,11.5,NEOGENE
335,SANDSTONE,OIL,COMPRESSION,FORELAND,FAR EAST,4350.0,41.5,4089.999999999999,1152.0,1700.5,CRETACEOUS
336,DOLOMITE,GAS-CONDENSATE,COMPRESSION,THRUST,NORTH AMERICA,1.305,5.05,4089.999999999999,101.0,71.5,PERMIAN
337,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FAR EAST,75.0,15.0,2960.5,101.0,71.5,PALEOGENE
338,LIMESTONE,GAS,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,35.0,10.15,10170.0,1152.0,140.0,PALEOGENE
339,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,4350.0,17.5,2960.5,676.9999999999999,101.5,CRETACEOUS
340,LIMESTONE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,161.0,22.75,4089.999999999999,46.5,11.5,DEVONIAN
341,SANDSTONE,OIL,GRAVITY,DELTA,FAR EAST,4350.0,41.5,8763.5,345.0,71.5,ARCHEAN
342,CHALK,GAS-CONDENSATE,COMPRESSION,THRUST,LATIN AMERICA,361.0,15.0,6288.5,475.0,205.0,CRETACEOUS
343,LIMESTONE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,35.0,12.65,1320.5,1152.0,337.5,JURASSIC
344,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,14.0,17.5,4089.999999999999,475.0,140.0,CAMBRIAN
345,SILTSTONE,OIL,STRIKE-SLIP,WRENCH,AFRICA,850.0,22.75,2960.5,101.0,71.5,NEOGENE
346,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,26.25,1320.5,245.0,101.5,CRETACEOUS
347,SANDSTONE,OIL,COMPRESSION,INVERSION,FORMER SOVIET UNION,161.0,12.65,2960.5,1152.0,1700.5,JURASSIC
348,SANDSTONE,GAS,INVERSION,RIFT,EUROPE,4350.0,41.5,5153.499999999999,475.0,205.0,CRETACEOUS
349,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,35.0,20.0,10170.0,160.0,48.25,CARBONIFEROUS
350,DOLOMITE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,35.0,17.5,1320.5,475.0,101.5,CRETACEOUS
351,DOLOMITE,OIL,INVERSION,INVERSION,FAR EAST,14.0,10.15,5153.499999999999,101.0,11.5,NEOGENE
352,SANDSTONE,OIL,COMPRESSION,THRUST,FORMER SOVIET UNION,850.0,26.25,1320.5,7000.0,337.5,CRETACEOUS
353,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,12.65,7513.5,7000.0,29.75,DEVONIAN
354,SANDSTONE,OIL,EXTENSION,SUB-SALT,AFRICA,4350.0,41.5,5153.499999999999,7000.0,337.5,NEOGENE
355,SANDSTONE,GAS,EXTENSION,PASSIVE MARGIN,NORTH AMERICA,35.0,22.75,4089.999999999999,7000.0,140.0,CRETACEOUS
356,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,17.5,10170.0,160.0,48.25,PALEOGENE
357,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,12.65,8763.5,101.0,11.5,CARBONIFEROUS
358,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,161.0,17.5,5153.499999999999,475.0,101.5,CRETACEOUS
359,CHALKY LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,26.25,7513.5,46.5,48.25,JURASSIC
360,CHALKY LIMESTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,10.15,15389.0,46.5,11.5,PROTEROZOIC
361,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,41.5,2960.5,160.0,140.0,CRETACEOUS
362,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,850.0,41.5,1320.5,676.9999999999999,1700.5,JURASSIC
363,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,22.75,4089.999999999999,46.5,11.5,NEOGENE
364,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,161.0,26.25,7513.5,160.0,140.0,TRIASSIC
365,THINLY-BEDDED SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,4350.0,41.5,2960.5,1152.0,101.5,PALEOGENE
366,SANDSTONE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,361.0,22.75,2960.5,475.0,140.0,CRETACEOUS
367,SANDSTONE,GAS-CONDENSATE,COMPRESSION,SUB-THRUST,FAR EAST,161.0,17.5,8763.5,245.0,140.0,CARBONIFEROUS
368,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,10.15,6288.5,101.0,71.5,CARBONIFEROUS
369,CHALK,GAS-CONDENSATE,STRIKE-SLIP,WRENCH,FAR EAST,35.0,26.25,5153.499999999999,46.5,48.25,PALEOGENE
370,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,20.0,8763.5,46.5,11.5,JURASSIC
371,SANDSTONE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,161.0,17.5,2960.5,676.9999999999999,205.0,CRETACEOUS
372,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,850.0,41.5,5153.499999999999,676.9999999999999,101.5,CRETACEOUS
373,DOLOMITE,OIL,EXTENSION,RIFT,FAR EAST,14.0,5.05,6288.5,676.9999999999999,140.0,PALEOGENE
374,SANDSTONE,GAS,COMPRESSION,THRUST,NORTH AMERICA,35.0,12.65,5153.499999999999,245.0,140.0,CARBONIFEROUS
375,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,1320.5,101.0,29.75,PERMIAN
376,DOLOMITE,OIL,INVERSION,SALT,EUROPE,14.0,10.15,6288.5,46.5,11.5,CRETACEOUS
377,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,41.5,2960.5,676.9999999999999,140.0,JURASSIC
378,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,161.0,15.0,8763.5,345.0,140.0,CRETACEOUS
379,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,10.15,8763.5,676.9999999999999,140.0,CARBONIFEROUS
380,CHALK,GAS-CONDENSATE,COMPRESSION,THRUST,LATIN AMERICA,75.0,5.05,2960.5,7000.0,71.5,CRETACEOUS
381,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,4089.999999999999,46.5,48.25,JURASSIC
382,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,26.25,2960.5,160.0,71.5,DEVONIAN
383,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,10.15,6288.5,101.0,11.5,CRETACEOUS
384,SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,361.0,22.75,10170.0,7000.0,71.5,CRETACEOUS
385,LIMESTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,35.0,22.75,6288.5,345.0,337.5,PROTEROZOIC
386,SANDSTONE,OIL,UPLIFT,INTRACRATONIC,NORTH AMERICA,4350.0,26.25,1320.5,160.0,48.25,SILURIAN
387,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,4350.0,22.75,7513.5,475.0,140.0,PERMIAN
388,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,NORTH AMERICA,361.0,26.25,10170.0,245.0,11.5,PERMIAN
389,SANDSTONE,OIL,COMPRESSION,FORELAND,FAR EAST,1.305,10.15,7513.5,1152.0,1700.5,PALEOGENE
390,SANDSTONE,GAS,EXTENSION,PASSIVE MARGIN,FAR EAST,361.0,26.25,8763.5,46.5,11.5,NEOGENE
391,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,14.0,22.75,2960.5,1152.0,337.5,DEVONIAN
392,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,5.3,12.65,7513.5,46.5,48.25,CARBONIFEROUS
393,SHALY SANDSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,14.0,22.75,8763.5,245.0,140.0,NEOGENE
394,LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,161.0,15.0,4089.999999999999,7000.0,1700.5,DEVONIAN
395,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,41.5,4089.999999999999,160.0,11.5,CRETACEOUS
396,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,361.0,12.65,4089.999999999999,7000.0,140.0,CRETACEOUS
397,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,22.75,6288.5,160.0,101.5,PERMIAN
398,LIMESTONE,GAS-CONDENSATE,EXTENSION,RIFT,FAR EAST,14.0,17.5,4089.999999999999,7000.0,205.0,CARBONIFEROUS
