,Hydrocarbon_type_(main),Depth_(top_reservoir_ft_TVD),Tectonic_regime,Structural_setting,Region,Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period,Lithology_(main),Permeability_(air_average_mD),Porosity_(matrix_average_%)
198,OIL,6288.5,STRIKE-SLIP,WRENCH,AFRICA,101.0,48.25,NEOGENE,SANDSTONE,161.0,17.5
199,OIL,8763.5,COMPRESSION,THRUST,FORMER SOVIET UNION,7000.0,71.5,NEOGENE,SANDSTONE,5.3,10.15
200,OIL,4089.999999999999,COMPRESSION,THRUST,LATIN AMERICA,7000.0,337.5,NEOGENE,SANDSTONE,850.0,26.25
201,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,SANDSTONE,850.0,17.5
202,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,245.0,101.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,75.0,22.75
203,OIL,5153.499999999999,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,7000.0,1700.5,CRETACEOUS,SANDSTONE,161.0,12.65
204,OIL,10170.0,EXTENSION,RIFT,EUROPE,475.0,337.5,TRIASSIC,SANDSTONE,1.305,5.05
205,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,PERMIAN,LIMESTONE,14.0,12.65
206,OIL,2960.5,EXTENSION,RIFT,FAR EAST,676.9999999999999,140.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,14.0,17.5
207,OIL,5153.499999999999,GRAVITY,SALT,MIDDLE EAST,345.0,11.5,CRETACEOUS,LIMESTONE,4350.0,41.5
208,GAS,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,1700.5,DEVONIAN,LIMESTONE,35.0,12.65
209,OIL,6288.5,COMPRESSION,WRENCH,FORMER SOVIET UNION,1152.0,1700.5,CRETACEOUS,SANDSTONE,850.0,17.5
210,OIL,1320.5,COMPRESSION,THRUST,FAR EAST,7000.0,140.0,PALEOGENE,LIMESTONE,161.0,20.0
211,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,PERMIAN,DOLOMITE,5.3,12.65
212,OIL,8763.5,EXTENSION,RIFT,FAR EAST,676.9999999999999,101.5,PALEOGENE,SANDSTONE,1.305,12.65
213,OIL,2960.5,EXTENSION,RIFT,AFRICA,46.5,29.75,CRETACEOUS,SANDSTONE,1.305,5.05
214,GAS,8763.5,COMPRESSION,WRENCH,FORMER SOVIET UNION,160.0,48.25,CRETACEOUS,SANDSTONE,35.0,15.0
215,GAS-CONDENSATE,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,PERMIAN,DOLOMITE,5.3,12.65
216,GAS-CONDENSATE,15389.0,COMPRESSION,FORELAND,FAR EAST,1152.0,71.5,JURASSIC,SANDSTONE,35.0,10.15
217,OIL,6288.5,COMPRESSION,FORELAND,MIDDLE EAST,245.0,205.0,JURASSIC,LIMESTONE,5.3,5.05
218,GAS-CONDENSATE,10170.0,EXTENSION,RIFT,FAR EAST,1152.0,1700.5,MESOZOIC,VOLCANICS,5.3,10.15
219,OIL,1320.5,COMPRESSION,THRUST,NORTH AMERICA,475.0,140.0,CAMBRIAN,DOLOMITE,35.0,20.0
220,OIL,8763.5,GRAVITY,DELTA,FAR EAST,160.0,48.25,NEOGENE,LOW-RESISTIVITY SANDSTONE,4350.0,26.25
221,OIL,6288.5,EXTENSION,RIFT,FAR EAST,160.0,71.5,NEOGENE,THINLY-BEDDED SANDSTONE,161.0,10.15
222,GAS-CONDENSATE,10170.0,INVERSION,RIFT,FAR EAST,345.0,71.5,PALEOGENE,SANDSTONE,4350.0,22.75
223,GAS,2960.5,COMPRESSION,SALT,MIDDLE EAST,676.9999999999999,1700.5,JURASSIC,LIMESTONE,161.0,12.65
224,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,1700.5,CRETACEOUS,SANDSTONE,4350.0,22.75
225,OIL,8763.5,EXTENSION,RIFT,AFRICA,1152.0,1700.5,CRETACEOUS,CHALKY LIMESTONE,1.305,10.15
226,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,48.25,CRETACEOUS,SANDSTONE,14.0,5.05
227,GAS,4089.999999999999,INVERSION,INTRACRATONIC,FAR EAST,7000.0,140.0,CARBONIFEROUS,DOLOMITE,5.3,10.15
228,OIL,7513.5,INVERSION,RIFT,EUROPE,345.0,29.75,PALEOGENE,SANDSTONE,361.0,15.0
229,OIL,2960.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,1152.0,337.5,CRETACEOUS,SANDSTONE,5.3,12.65
230,OIL,2960.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,11.5,CARBONIFEROUS,CONGLOMERATE,75.0,22.75
231,GAS,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,140.0,CRETACEOUS,SANDSTONE,4350.0,41.5
232,GAS-CONDENSATE,15389.0,STRIKE-SLIP,WRENCH,AFRICA,7000.0,205.0,NEOGENE,SANDSTONE,361.0,41.5
233,OIL,1320.5,COMPRESSION,THRUST,FAR EAST,245.0,71.5,PALEOGENE,SANDSTONE,850.0,22.75
234,OIL,6288.5,EXTENSION,INTRACRATONIC,EUROPE,1152.0,29.75,CRETACEOUS,CHALK,1.305,41.5
235,GAS,10170.0,COMPRESSION,INTRACRATONIC,NORTH AMERICA,245.0,140.0,CARBONIFEROUS,DOLOMITE,35.0,10.15
236,OIL,15389.0,EXTENSION,RIFT,EUROPE,345.0,205.0,JURASSIC,SANDSTONE,161.0,17.5
237,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,11.5,PERMIAN,DOLOMITE,5.3,5.05
238,OIL,5153.499999999999,EXTENSION,RIFT,EUROPE,1152.0,337.5,CRETACEOUS,SANDSTONE,161.0,17.5
239,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,CRETACEOUS,SANDSTONE,850.0,12.65
240,OIL,15389.0,EXTENSION,RIFT,EUROPE,475.0,101.5,JURASSIC,LIMESTONE,14.0,17.5
241,OIL,6288.5,COMPRESSION,FORELAND,FAR EAST,160.0,71.5,JURASSIC,SANDSTONE,161.0,15.0
242,OIL,10170.0,GRAVITY,DELTA,NORTH AMERICA,46.5,11.5,NEOGENE,SANDSTONE,5.3,15.0
243,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,DEVONIAN,DOLOMITE,161.0,20.0
244,OIL,4089.999999999999,EXTENSION,RIFT,EUROPE,475.0,29.75,JURASSIC,SHALY SANDSTONE,14.0,15.0
245,OIL,6288.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,46.5,11.5,CRETACEOUS,SANDSTONE,850.0,26.25
246,GAS,5153.499999999999,COMPRESSION,THRUST,EUROPE,345.0,71.5,TRIASSIC,SANDSTONE,161.0,10.15
247,OIL,7513.5,EVAPORITE,PASSIVE MARGIN,AFRICA,1152.0,29.75,NEOGENE,THINLY-BEDDED SANDSTONE,850.0,17.5
248,GAS-CONDENSATE,10170.0,INVERSION,RIFT,EUROPE,245.0,29.75,TRIASSIC,SANDSTONE,361.0,17.5
249,GAS-CONDENSATE,15389.0,EXTENSION,RIFT,EUROPE,101.0,48.25,TRIASSIC,SANDSTONE,35.0,10.15
250,OIL,8763.5,INVERSION,INVERSION,FAR EAST,245.0,205.0,PALEOGENE,SANDSTONE,4350.0,26.25
251,OIL,6288.5,COMPRESSION,THRUST,FAR EAST,676.9999999999999,1700.5,TRIASSIC,CONGLOMERATE,75.0,20.0
252,OIL,2960.5,COMPRESSION,SALT,MIDDLE EAST,1152.0,29.75,CAMBRIAN,SANDSTONE,4350.0,12.65
253,OIL,4089.999999999999,EXTENSION,RIFT,EUROPE,160.0,11.5,TRIASSIC,SANDSTONE,361.0,26.25
254,OIL,4089.999999999999,COMPRESSION,INVERSION,FORMER SOVIET UNION,345.0,101.5,JURASSIC,SANDSTONE,5.3,5.05
255,OIL,4089.999999999999,EXTENSION,SUB-SALT,AFRICA,1152.0,1700.5,CARBONIFEROUS,SANDSTONE,361.0,22.75
256,GAS,7513.5,INVERSION,SALT,EUROPE,676.9999999999999,337.5,JURASSIC,SANDSTONE,161.0,22.75
257,GAS,1320.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,7000.0,71.5,CRETACEOUS,SANDSTONE,850.0,22.75
258,OIL,1320.5,COMPRESSION,WRENCH,NORTH AMERICA,1152.0,1700.5,NEOGENE,THINLY-BEDDED SANDSTONE,850.0,17.5
259,OIL,5153.499999999999,STRIKE-SLIP,WRENCH,FAR EAST,160.0,71.5,NEOGENE,SANDSTONE,35.0,12.65
260,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,160.0,101.5,CARBONIFEROUS,SHALY SANDSTONE,14.0,15.0
261,OIL,2960.5,COMPRESSION,SALT,MIDDLE EAST,245.0,29.75,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,14.0,22.75
262,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,345.0,11.5,CARBONIFEROUS,DOLOMITE,5.3,12.65
263,OIL,4089.999999999999,COMPRESSION,FORELAND,EUROPE,1152.0,1700.5,CRETACEOUS,SANDSTONE,4350.0,41.5
264,OIL,7513.5,INVERSION,INVERSION,EUROPE,46.5,29.75,CRETACEOUS,CHALK,1.305,41.5
265,OIL,6288.5,INVERSION,SALT,EUROPE,345.0,337.5,CRETACEOUS,SANDSTONE,161.0,10.15
266,OIL,1320.5,INVERSION,DELTA,NORTH AMERICA,475.0,101.5,PALEOGENE,SANDSTONE,75.0,15.0
267,OIL,6288.5,COMPRESSION,SALT,MIDDLE EAST,245.0,205.0,JURASSIC,LIMESTONE,850.0,41.5
268,OIL,4089.999999999999,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,1152.0,205.0,CRETACEOUS,SANDSTONE,161.0,22.75
269,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,CRETACEOUS,SILTSTONE,1.305,5.05
270,OIL,7513.5,EXTENSION,RIFT,FAR EAST,160.0,101.5,PROTEROZOIC,DOLOMITE,75.0,12.65
271,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,PERMIAN,DOLOMITE,161.0,26.25
272,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,DEVONIAN,SANDSTONE,5.3,5.05
273,OIL,1320.5,COMPRESSION,THRUST,FAR EAST,160.0,71.5,PALEOGENE,SANDSTONE,361.0,20.0
274,OIL,5153.499999999999,EXTENSION,SUB-SALT,AFRICA,7000.0,71.5,CARBONIFEROUS,SANDSTONE,35.0,12.65
275,OIL,2960.5,INVERSION,INVERSION,FAR EAST,7000.0,205.0,PALEOGENE,SANDSTONE,35.0,17.5
276,OIL,1320.5,INVERSION,RIFT,FAR EAST,7000.0,1700.5,PALEOGENE,SANDSTONE,75.0,15.0
277,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,337.5,PERMIAN,DOLOMITE,35.0,17.5
278,OIL,5153.499999999999,GRAVITY,SALT,MIDDLE EAST,160.0,71.5,JURASSIC,LIMESTONE,161.0,20.0
279,OIL,10170.0,COMPRESSION,FORELAND,FORMER SOVIET UNION,160.0,140.0,DEVONIAN,SANDSTONE,850.0,41.5
280,OIL,4089.999999999999,GRAVITY,DELTA,AFRICA,475.0,337.5,NEOGENE,SANDSTONE,850.0,22.75
281,OIL,5153.499999999999,INVERSION,RIFT,EUROPE,1152.0,1700.5,CRETACEOUS,SANDSTONE,850.0,12.65
282,GAS,1320.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,160.0,71.5,CARBONIFEROUS,DOLOMITE,1.305,5.05
283,OIL,2960.5,GRAVITY,SALT,LATIN AMERICA,475.0,337.5,CRETACEOUS,CONGLOMERATE,35.0,10.15
284,OIL,7513.5,INVERSION,INVERSION,FAR EAST,1152.0,101.5,NEOGENE,SANDSTONE,35.0,15.0
285,OIL,7513.5,EXTENSION,PASSIVE MARGIN,FAR EAST,345.0,205.0,PALEOGENE,SANDSTONE,75.0,41.5
286,OIL,1320.5,COMPRESSION,WRENCH,NORTH AMERICA,475.0,101.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,161.0,10.15
287,OIL,7513.5,EXTENSION,INTRACRATONIC,EUROPE,475.0,101.5,JURASSIC,SANDSTONE,361.0,41.5
288,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,PERMIAN,LIMESTONE,161.0,12.65
289,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,29.75,PERMIAN,DOLOMITE,14.0,12.65
290,GAS,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,140.0,CARBONIFEROUS,SHALY SANDSTONE,14.0,20.0
291,OIL,6288.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,245.0,205.0,DEVONIAN,SANDSTONE,361.0,26.25
292,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,71.5,DEVONIAN,DOLOMITE,1.305,41.5
293,OIL,5153.499999999999,INVERSION,RIFT,FAR EAST,475.0,101.5,PALEOGENE,SANDSTONE,35.0,15.0
294,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,11.5,DEVONIAN,DOLOMITE,35.0,22.75
295,OIL,2960.5,INVERSION,SALT,EUROPE,475.0,101.5,PALEOGENE,SANDSTONE,4350.0,26.25
296,OIL,2960.5,INVERSION,INTRACRATONIC,FAR EAST,676.9999999999999,101.5,CRETACEOUS,SANDSTONE,161.0,20.0
297,OIL,2960.5,STRIKE-SLIP,WRENCH,AFRICA,7000.0,71.5,NEOGENE,SANDSTONE,161.0,12.65
298,OIL,6288.5,INVERSION,RIFT,FAR EAST,676.9999999999999,337.5,NEOGENE,SANDSTONE,361.0,22.75
299,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,48.25,CRETACEOUS,SANDSTONE,850.0,41.5
300,OIL,4089.999999999999,EXTENSION,RIFT,NORTH AMERICA,101.0,29.75,CRETACEOUS,SILTSTONE,850.0,26.25
301,OIL,2960.5,EXTENSION,RIFT,FAR EAST,7000.0,337.5,PROTEROZOIC,DOLOMITE,35.0,17.5
302,OIL,1320.5,COMPRESSION,INTRACRATONIC,AFRICA,101.0,71.5,CAMBRIAN,SANDSTONE,14.0,22.75
303,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,205.0,PERMIAN,DOLOMITE,35.0,22.75
304,OIL,2960.5,EXTENSION,INTRACRATONIC,EUROPE,676.9999999999999,1700.5,CRETACEOUS,SANDSTONE,850.0,17.5
305,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,DEVONIAN,DOLOMITE,5.3,12.65
306,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,TRIASSIC,SANDSTONE,5.3,10.15
307,GAS-CONDENSATE,6288.5,INVERSION,INVERSION,FAR EAST,1152.0,1700.5,CRETACEOUS,SANDSTONE,4350.0,41.5
308,GAS,4089.999999999999,INVERSION,SALT,EUROPE,7000.0,140.0,PALEOGENE,SANDSTONE,161.0,10.15
309,OIL,1320.5,EXTENSION,RIFT,EUROPE,160.0,48.25,JURASSIC,SANDSTONE,161.0,17.5
310,GAS,5153.499999999999,COMPRESSION,FORELAND,MIDDLE EAST,676.9999999999999,205.0,CRETACEOUS,LIMESTONE,75.0,17.5
311,OIL,8763.5,COMPRESSION,THRUST,FAR EAST,1152.0,29.75,NEOGENE,LOW-RESISTIVITY SANDSTONE,850.0,17.5
312,OIL,2960.5,COMPRESSION,FORELAND,LATIN AMERICA,7000.0,1700.5,NEOGENE,SANDSTONE,161.0,15.0
313,OIL,8763.5,INVERSION,INVERSION,FAR EAST,160.0,140.0,CRETACEOUS,THINLY-BEDDED SANDSTONE,361.0,41.5
314,GAS,4089.999999999999,INVERSION,INVERSION,FAR EAST,7000.0,140.0,NEOGENE,SANDSTONE,1.305,5.05
315,OIL,7513.5,INVERSION,INVERSION,FAR EAST,245.0,48.25,CRETACEOUS,SANDSTONE,1.305,10.15
316,GAS,15389.0,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,71.5,CARBONIFEROUS,DOLOMITE,5.3,20.0
317,OIL,4089.999999999999,COMPRESSION,SALT,MIDDLE EAST,101.0,11.5,JURASSIC,LIMESTONE,161.0,12.65
318,OIL,7513.5,COMPRESSION,THRUST,FORMER SOVIET UNION,46.5,29.75,NEOGENE,SANDSTONE,850.0,17.5
319,OIL,4089.999999999999,COMPRESSION,THRUST,NORTH AMERICA,245.0,29.75,NEOGENE,SANDSTONE,361.0,41.5
320,OIL,4089.999999999999,GRAVITY,SALT,MIDDLE EAST,245.0,11.5,CRETACEOUS,CHALKY LIMESTONE,1.305,41.5
321,OIL,2960.5,INVERSION,RIFT,FAR EAST,7000.0,71.5,PALEOGENE,SANDSTONE,4350.0,22.75
322,GAS-CONDENSATE,15389.0,INVERSION,INVERSION,AFRICA,7000.0,71.5,CRETACEOUS,SANDSTONE,361.0,26.25
323,OIL,2960.5,EXTENSION,SUB-SALT,AFRICA,101.0,48.25,PALEOZOIC,SANDSTONE,35.0,20.0
324,OIL,6288.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,160.0,29.75,CRETACEOUS,SILTSTONE,14.0,22.75
325,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,PERMIAN,SANDSTONE,35.0,26.25
326,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,LIMESTONE,161.0,17.5
327,OIL,1320.5,COMPRESSION,SALT,MIDDLE EAST,1152.0,1700.5,PERMIAN,DOLOMITE,1.305,26.25
328,OIL,7513.5,COMPRESSION,THRUST,MIDDLE EAST,245.0,140.0,CRETACEOUS,CHALK,1.305,10.15
329,OIL,8763.5,INVERSION,SUB-SALT,EUROPE,101.0,48.25,PERMIAN,SANDSTONE,361.0,41.5
330,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,DEVONIAN,SANDSTONE,4350.0,41.5
331,OIL,1320.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,101.0,11.5,CARBONIFEROUS,LIMESTONE,161.0,15.0
332,OIL,7513.5,COMPRESSION,FORELAND,MIDDLE EAST,475.0,205.0,PALEOGENE,DOLOMITIC LIMESTONE,14.0,5.05
333,OIL,10170.0,INVERSION,RIFT,FAR EAST,475.0,101.5,PALEOGENE,SANDSTONE,14.0,20.0
334,OIL,15389.0,EXTENSION,RIFT,EUROPE,245.0,29.75,JURASSIC,THINLY-BEDDED SANDSTONE,4350.0,26.25
335,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,337.5,CARBONIFEROUS,DOLOMITE,1.305,5.05
336,OIL,4089.999999999999,COMPRESSION,THRUST,FAR EAST,676.9999999999999,337.5,CRETACEOUS,SANDSTONE,161.0,12.65
337,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,101.5,CRETACEOUS,SANDSTONE,850.0,26.25
338,OIL,10170.0,EXTENSION,SUB-SALT,AFRICA,345.0,11.5,TRIASSIC,SANDSTONE,75.0,5.05
339,OIL,2960.5,GRAVITY,PASSIVE MARGIN,AFRICA,475.0,205.0,CRETACEOUS,SANDSTONE,75.0,20.0
340,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,245.0,337.5,PALEOGENE,SANDSTONE,361.0,41.5
341,OIL,6288.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,7000.0,1700.5,CRETACEOUS,SANDSTONE,4350.0,41.5
342,OIL,2960.5,EXTENSION,RIFT,EUROPE,1152.0,140.0,CRETACEOUS,CHALK,1.305,5.05
343,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,PERMIAN,DOLOMITE,1.305,17.5
344,GAS-CONDENSATE,5153.499999999999,GRAVITY,SUB-SALT,NORTH AMERICA,1152.0,205.0,JURASSIC,SANDSTONE,850.0,22.75
345,OIL,2960.5,GRAVITY,INTRACRATONIC,NORTH AMERICA,1152.0,1700.5,DEVONIAN,DOLOMITE,14.0,17.5
346,OIL,5153.499999999999,INVERSION,RIFT,FAR EAST,1152.0,1700.5,PALEOGENE,SANDSTONE,4350.0,41.5
347,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,1700.5,PERMIAN,SANDSTONE,850.0,41.5
348,OIL,7513.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,46.5,29.75,CARBONIFEROUS,SANDSTONE,361.0,22.75
349,OIL,6288.5,GRAVITY,SALT,MIDDLE EAST,676.9999999999999,101.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,161.0,15.0
350,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,PERMIAN,SILTSTONE,1.305,41.5
351,OIL,6288.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,101.0,48.25,CRETACEOUS,SANDSTONE,850.0,26.25
352,OIL,2960.5,COMPRESSION,FORELAND,FAR EAST,101.0,48.25,PROTEROZOIC,DOLOMITE,14.0,10.15
353,OIL,7513.5,COMPRESSION,THRUST,FAR EAST,245.0,48.25,CARBONIFEROUS,SANDSTONE,14.0,10.15
354,GAS,15389.0,INVERSION,INVERSION,FAR EAST,676.9999999999999,205.0,CRETACEOUS,GLAUCONITIC SANDSTONE,850.0,20.0
355,OIL,5153.499999999999,EXTENSION,RIFT,AFRICA,1152.0,205.0,CRETACEOUS,SANDSTONE,361.0,26.25
356,OIL,5153.499999999999,EXTENSION,RIFT,FAR EAST,160.0,101.5,PROTEROZOIC,DOLOMITE,75.0,10.15
357,OIL,10170.0,INVERSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,SANDSTONE,35.0,12.65
358,OIL,2960.5,COMPRESSION,WRENCH,NORTH AMERICA,101.0,29.75,NEOGENE,SANDSTONE,4350.0,26.25
359,OIL,1320.5,INVERSION,INVERSION,FAR EAST,1152.0,337.5,CRETACEOUS,SANDSTONE,850.0,41.5
360,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,DEVONIAN,DOLOMITE,1.305,10.15
361,GAS,7513.5,COMPRESSION,INVERSION,FORMER SOVIET UNION,245.0,29.75,NEOGENE,SANDSTONE,75.0,17.5
362,OIL,6288.5,EXTENSION,SUB-SALT,AFRICA,101.0,11.5,NEOGENE,SANDSTONE,4350.0,41.5
363,GAS,10170.0,COMPRESSION,THRUST,LATIN AMERICA,7000.0,1700.5,CRETACEOUS,SANDSTONE,361.0,26.25
364,GAS,15389.0,EXTENSION,RIFT,FAR EAST,345.0,29.75,ARCHEAN,BASEMENT,5.3,10.15
365,OIL,10170.0,INVERSION,INVERSION,FAR EAST,475.0,101.5,PALEOGENE,SANDSTONE,4350.0,41.5
366,GAS-CONDENSATE,10170.0,COMPRESSION,FORELAND,FORMER SOVIET UNION,345.0,29.75,CRETACEOUS,SANDSTONE,361.0,15.0
367,GAS,15389.0,GRAVITY,SALT,MIDDLE EAST,676.9999999999999,1700.5,JURASSIC,LIMESTONE,75.0,20.0
368,OIL,2960.5,COMPRESSION,SUB-THRUST,FAR EAST,46.5,11.5,TRIASSIC,SANDSTONE,75.0,17.5
369,OIL,1320.5,COMPRESSION,FORELAND,FAR EAST,7000.0,205.0,PROTEROZOIC,DOLOMITE,5.3,20.0
370,GAS,8763.5,INVERSION,INVERSION,FAR EAST,7000.0,337.5,NEOGENE,SANDSTONE,75.0,41.5
371,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,345.0,101.5,NEOGENE,SANDSTONE,14.0,15.0
372,OIL,10170.0,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,345.0,11.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,14.0,5.05
373,OIL,7513.5,GRAVITY,PASSIVE MARGIN,AFRICA,101.0,71.5,NEOGENE,SANDSTONE,75.0,17.5
374,OIL,1320.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,101.0,29.75,CRETACEOUS,SANDSTONE,35.0,12.65
375,OIL,10170.0,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,7000.0,205.0,CARBONIFEROUS,SANDSTONE,361.0,26.25
376,OIL,6288.5,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,245.0,205.0,CARBONIFEROUS,SANDSTONE,4350.0,26.25
377,GAS-CONDENSATE,15389.0,COMPRESSION,FORELAND,FORMER SOVIET UNION,7000.0,1700.5,CARBONIFEROUS,SANDSTONE,4350.0,41.5
378,OIL,8763.5,INVERSION,RIFT,FAR EAST,1152.0,48.25,PALEOGENE,SANDSTONE,14.0,22.75
379,GAS,15389.0,COMPRESSION,THRUST,FAR EAST,7000.0,71.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,850.0,41.5
380,OIL,2960.5,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,46.5,11.5,JURASSIC,SANDSTONE,4350.0,20.0
381,GAS,15389.0,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,345.0,101.5,CRETACEOUS,LIMESTONE,161.0,22.75
382,OIL,5153.499999999999,EXTENSION,RIFT,NORTH AMERICA,101.0,71.5,CRETACEOUS,SANDSTONE,14.0,15.0
383,GAS-CONDENSATE,4089.999999999999,INVERSION,INVERSION,FAR EAST,676.9999999999999,337.5,PALEOGENE,SANDSTONE,14.0,20.0
384,OIL,6288.5,GRAVITY,SALT,NORTH AMERICA,676.9999999999999,337.5,CRETACEOUS,SANDSTONE,161.0,15.0
385,OIL,8763.5,GRAVITY,SALT,NORTH AMERICA,676.9999999999999,337.5,JURASSIC,SANDSTONE,4350.0,41.5
386,OIL,8763.5,INVERSION,INVERSION,FAR EAST,676.9999999999999,205.0,CRETACEOUS,SANDSTONE,850.0,26.25
387,OIL,7513.5,COMPRESSION,THRUST,FAR EAST,160.0,48.25,CARBONIFEROUS,SANDSTONE,850.0,17.5
388,OIL,1320.5,COMPRESSION,FORELAND,FAR EAST,7000.0,140.0,JURASSIC,SANDSTONE,35.0,5.05
389,GAS,15389.0,COMPRESSION,THRUST,LATIN AMERICA,475.0,205.0,CRETACEOUS,LIMESTONE,161.0,22.75
390,GAS-CONDENSATE,8763.5,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,46.5,29.75,DEVONIAN,SANDSTONE,14.0,20.0
391,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,SANDSTONE,35.0,17.5
392,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,CRETACEOUS,SANDSTONE,1.305,5.05
393,GAS,6288.5,COMPRESSION,THRUST,NORTH AMERICA,7000.0,337.5,SILURIAN,DOLOMITIC LIMESTONE,1.305,41.5
394,GAS,10170.0,GRAVITY,DELTA,FAR EAST,101.0,11.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,850.0,22.75
395,GAS,7513.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,71.5,CARBONIFEROUS,DOLOMITE,161.0,17.5
396,OIL,1320.5,EXTENSION,RIFT,FAR EAST,345.0,205.0,NEOGENE,SANDSTONE,161.0,20.0
397,OIL,10170.0,COMPRESSION,SUB-SALT,AFRICA,101.0,29.75,PALEOZOIC,SANDSTONE,4350.0,26.25
398,OIL,15389.0,COMPRESSION,FORELAND,FAR EAST,245.0,205.0,NEOGENE,SANDSTONE,161.0,22.75
